Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
3000,129.0,1,1,0,1,5,157.0,1332.0,3,2024,Nissan,Cargo VAN,Other interior material,28899,/car/69850836/nissan-townstar-1-3-dig-t-96-kw
0,123.0,1,1,0,1,5,151.0,999.0,1,2024,Ford,MPV/VAN,Other interior material,25399,/car/69850655/ford-tourneo-courier-1-0-ecoboost-92-kw
10,98.0,0,1,0,1,5,111.0,998.0,3,2024,Hyundai,Sedans / saloons,Cloth interior,27499,/car/69850647/hyundai-i30-73-kw
10,148.0,0,1,0,1,5,141.0,1332.0,1,2024,Dacia,SUV / offroad,Cloth interior,28249,/car/69850644/dacia-duster-tce-150-edc-110-kw
10,129.0,1,1,1,1,5,137.0,1199.0,1,2024,Dacia,SUV / offroad,Other interior material,32799,/car/69850505/dacia-duster-tce-130-96-kw
55200,138.0,0,1,0,1,5,132.0,1333.0,1,2021,Renault,SUV / offroad,Cloth interior,23399,/car/69850450/renault-arkana-1-3-103-kw
10,83.0,1,1,0,1,5,116.0,1197.0,1,2023,Kia,SUV / offroad,Cloth interior,18549,/car/69850332/kia-stonic-1-2-edition-7-62-kw
0,114.0,0,2,0,1,5,91.0,1490.0,1,2024,Toyota,Hatchback,Cloth interior,27249,/car/69850007/toyota-yaris-hybrid-85-kw
2,114.0,1,1,0,1,5,122.0,999.0,1,2024,Seat,SUV / offroad,Cloth interior,26999,/car/69849848/seat-ateca-1-0-tsi-reference-85-kw
10,148.0,0,1,0,1,5,141.0,1332.0,1,2024,Dacia,SUV / offroad,Cloth interior,28249,/car/69849765/dacia-duster-tce-150-edc-110-kw
10,148.0,0,1,0,1,5,116.0,1498.0,1,2024,Škoda,SUV / offroad,Cloth interior,29999,/car/69849620/skoda-kamiq-1-5-tsi-dsg-110-kw
10,123.0,1,1,0,1,5,151.0,999.0,1,2024,Ford,MPV/VAN,Cloth interior,27599,/car/69849553/ford-tourneo-courier-titanium-92-kw
60400,369.0,0,1,1,1,5,172.0,2998.0,3,2021,BMW,Sedans / saloons,Full leather interior,56949,/car/69849473/bmw-340i-xdrive-275-kw
15,78.0,1,1,0,1,5,116.0,1197.0,3,2024,Kia,SUV / offroad,Cloth interior,22549,/car/69849156/kia-stonic-1-2-vision-58-kw
